圧空圧力[MPa],成形面積：巾100[mm] x 流100[mm],成形面積：巾200[mm] x 流200[mm],成形面積：巾300[mm] x 流300[mm],成形面積：巾400[mm] x 流400[mm],成形面積：巾500[mm] x 流500[mm],成形面積：巾600[mm] x 流600[mm]
0.6566,0.049980000000000004,0.06327699979054097,0.14237324952871716,0.25310799916216387,0.39548124869088097,0.4724053784987201
0.6664,0.049980000000000004,0.06422143262323561,0.1444982234022801,0.25688573049294244,0.4013839538952226,0.4724053784987201
0.6762,0.049980000000000004,0.06516586545593026,0.14662319727584305,0.260663461823721,0.407286659099564,0.4724053784987201
0.6859999999999999,0.049980000000000004,0.06611029828862487,0.14874817114940594,0.2644411931544995,0.4131893643039054,0.4724053784987201
0.6958,0.049980000000000004,0.06705473112131952,0.1508731450229689,0.26821892448527807,0.419092069508247,0.4724053784987201
0.7056,0.049980000000000004,0.06799916395401417,0.1529981188965319,0.2719966558160567,0.42499477471258856,0.4724053784987201
0.7153999999999999,0.049980000000000004,0.06894359678670879,0.1551230927700948,0.27577438714683516,0.43089747991693,0.4724053784987201
0.7252,0.049980000000000004,0.06988802961940344,0.15724806664365773,0.27955211847761374,0.43680018512127156,0.4724053784987201
0.735,0.049980000000000004,0.07083246245209808,0.15937304051722068,0.2833298498083923,0.442702890325613,0.4724053784987201
0.7448,0.049980000000000004,0.07177689528479272,0.16149801439078362,0.2871075811391709,0.4486055955299545,0.4724053784987201
0.7545999999999999,0.049980000000000004,0.07272132811748737,0.1636229882643466,0.2908853124699495,0.454508300734296,0.4724053784987201
0.7644,0.049980000000000004,0.073665760950182,0.16574796213790952,0.294663043800728,0.4604110059386376,0.4724053784987201
0.7742,0.049980000000000004,0.07461019378287666,0.16787293601147246,0.29844077513150663,0.4663137111429791,0.4724053784987201
0.784,0.049980000000000004,0.07555462661557129,0.1699979098850354,0.30221850646228515,0.47221641634732064,0.4724053784987201
0.7938,0.049980000000000004,0.07649905944826593,0.17212288375859838,0.30599623779306373,0.4724053784987201,0.4724053784987201
0.8036,0.049980000000000004,0.07744349228096058,0.17424785763216127,0.3097739691238423,0.4724053784987201,0.4724053784987201
0.8134,0.049980000000000004,0.07838792511365522,0.17637283150572428,0.3135517004546209,0.4724053784987201,0.4724053784987201
0.8231999999999999,0.049980000000000004,0.07933235794634984,0.17849780537928717,0.31732943178539935,0.4724053784987201,0.4724053784987201
0.833,0.049980000000000004,0.0802767907790445,0.1806227792528501,0.321107163116178,0.4724053784987201,0.4724053784987201
0.8428,0.049980000000000004,0.08122122361173915,0.18274775312641311,0.3248848944469566,0.4724053784987201,0.4724053784987201
0.8526,0.049980000000000004,0.0821656564444338,0.184872726999976,0.3286626257777352,0.4724053784987201,0.4724053784987201
0.8623999999999999,0.049980000000000004,0.08311008927712843,0.18699770087353895,0.3324403571085137,0.4724053784987201,0.4724053784987201
0.8722,0.049980000000000004,0.08405452210982306,0.18912267474710187,0.33621808843929224,0.4724053784987201,0.4724053784987201
0.882,0.049980000000000004,0.0849989549425177,0.19124764862066485,0.3399958197700708,0.4724053784987201,0.4724053784987201
0.8917999999999999,0.049980000000000004,0.08594338777521233,0.1933726224942278,0.34377355110084934,0.4724053784987201,0.4724053784987201
0.9016,0.049980000000000004,0.08688782060790698,0.1954975963677907,0.3475512824316279,0.4724053784987201,0.4724053784987201
0.9114,0.049980000000000004,0.08783225344060162,0.19762257024135368,0.3513290137624065,0.4724053784987201,0.4724053784987201
0.9212,0.049980000000000004,0.08877668627329627,0.19974754411491658,0.35510674509318507,0.4724053784987201,0.4724053784987201
0.9309999999999999,0.049980000000000004,0.0897211191059909,0.20187251798847955,0.3588844764239636,0.4724053784987201,0.4724053784987201
0.9408,0.049980000000000004,0.09066555193868557,0.20399749186204252,0.3626622077547423,0.4724053784987201,0.4724053784987201
0.9506,0.049980000000000004,0.09160998477138019,0.20612246573560536,0.36643993908552075,0.4724053784987201,0.4724053784987201
0.9603999999999999,0.049980000000000004,0.09255441760407483,0.20824743960916833,0.3702176704162993,0.4724053784987201,0.4724053784987201
0.9702,0.049980000000000004,0.09349885043676948,0.2103724134827313,0.3739954017470779,0.4724053784987201,0.4724053784987201
0.98,0.049980000000000004,0.09444328326946412,0.21249738735629428,0.3777731330778565,0.4724053784987201,0.4724053784987201
